BASE_ID,avg_SAND,avg_SILT,avg_CLAY,LPSA_texture_status,lab_texture_class
250225,89.5,4.235,6.265,ALL_CLASS_AGREE,S
250227,85.2,7.019999999999998,7.779999999999999,ALL_CLASS_AGREE,LS
250228,86.05,6.895000000000003,7.055,ALL_CLASS_AGREE,LS
250229,72.85,4.999999999999998,22.15,ALL_CLASS_AGREE,SCL
250235,29.6,5.800000000000001,64.6,ALL_CLASS_AGREE,C
250236,84.65,9.55,5.8,ALL_CLASS_AGREE,LS
250238,26.45,5.5,68.05,ALL_CLASS_AGREE,C
250240,85.05000000000001,9.709999999999997,5.24,ALL_CLASS_AGREE,LS
250243,22.55,3.799999999999997,73.65,ALL_CLASS_AGREE,C
250244,83.45,9.579999999999997,6.97,ALL_CLASS_AGREE,LS
250246,27.05,4.000000000000007,68.94999999999999,ALL_CLASS_AGREE,C
250247,18.85,2.6500000000000057,78.5,ALL_CLASS_AGREE,C
250248,85.15,9.609999999999994,5.24,ALL_CLASS_AGREE,LS
250249,70.8,14.600000000000003,14.6,ALL_CLASS_AGREE,SL
250251,26.25,5.199999999999996,68.55000000000001,ALL_CLASS_AGREE,C
250252,22.700000000000003,4.100000000000001,73.2,ALL_CLASS_AGREE,C
250253,82.65,11.315000000000001,6.035,ALL_CLASS_AGREE,LS
250254,82.4,11.39,6.210000000000001,ALL_CLASS_AGREE,LS
250256,35.3,8.650000000000002,56.05,ALL_CLASS_AGREE,C
250257,21.75,3.8500000000000014,74.4,ALL_CLASS_AGREE,C
250258,89.25,5.93,4.82,ALL_CLASS_AGREE,S
250260,78.15,8.250000000000002,13.6,ALL_CLASS_AGREE,SL
250261,83.1,8.169999999999998,8.73,ALL_CLASS_AGREE,LS
250262,62,7.5000000000000036,30.5,ALL_CLASS_AGREE,SCL
250263,81.44999999999999,12.025000000000004,6.525,ALL_CLASS_AGREE,LS
250264,81.30000000000001,12.109999999999996,6.59,ALL_CLASS_AGREE,LS
